"@timestamp",message
"February 6th 2019, 17:01:48.696","Feb 06, 2019 5:01:48 PM hudson.model.Run getArtifactsUpTo"
"February 6th 2019, 17:01:48.696","WARNING: null"
"February 6th 2019, 17:01:48.697","	at io.jenkins.plugins.artifact_manager_jclouds.JCloudsVirtualFile.run(JCloudsVirtualFile.java:328)"
"February 6th 2019, 17:01:48.697","java.io.IOException: hudson.security.AccessDeniedException2: mat007 is missing the Overall/Administer permission"
"February 6th 2019, 17:01:48.698","	at hudson.model.Run.getArtifactsUpTo(Run.java:1104)"
"February 6th 2019, 17:01:48.698","	at io.jenkins.blueocean.service.embedded.rest.AbstractRunImpl.getArtifactsZipFile(AbstractRunImpl.java:278)"
"February 6th 2019, 17:01:48.698","	at hudson.model.Run.getHasArtifacts(Run.java:1121)"
"February 6th 2019, 17:01:48.699","	at io.jenkins.blueocean.commons.stapler.export.ExportInterceptor$1.getValue(ExportInterceptor.java:46)"
"February 6th 2019, 17:01:48.699","	at io.jenkins.blueocean.commons.stapler.export.MethodProperty.getValue(MethodProperty.java:72)"
"February 6th 2019, 17:01:48.700","	at io.jenkins.blueocean.commons.stapler.export.Property.writeTo(Property.java:136)"
"February 6th 2019, 17:01:48.700","	at io.jenkins.blueocean.commons.stapler.Export$BlueOceanExportInterceptor.getValue(Export.java:196)"
"February 6th 2019, 17:01:48.701","	at io.jenkins.blueocean.commons.stapler.export.Model.writeNestedObjectTo(Model.java:224)"
"February 6th 2019, 17:01:48.701","	at io.jenkins.blueocean.commons.stapler.export.Model.writeNestedObjectTo(Model.java:228)"
"February 6th 2019, 17:01:48.701","	at io.jenkins.blueocean.commons.stapler.export.Model.writeNestedObjectTo(Model.java:224)"
"February 6th 2019, 17:01:48.702","	at io.jenkins.blueocean.commons.stapler.Export.writeOne(Export.java:177)"
"February 6th 2019, 17:01:48.702","	at io.jenkins.blueocean.commons.stapler.export.Model.writeTo(Model.java:199)"
"February 6th 2019, 17:01:48.703","	at io.jenkins.blueocean.commons.stapler.Export.serveExposedBean(Export.java:168)"
"February 6th 2019, 17:01:48.703","	at io.jenkins.blueocean.commons.stapler.Export.doJson(Export.java:108)"
"February 6th 2019, 17:01:48.704","	at io.jenkins.blueocean.commons.stapler.TreeResponse$Processor$1.generateResponse(TreeResponse.java:48)"
"February 6th 2019, 17:01:48.704","	at org.kohsuke.stapler.HttpResponseRenderer$Default.generateResponse(HttpResponseRenderer.java:69)"
"February 6th 2019, 17:01:48.704","	at org.kohsuke.stapler.HttpResponseRenderer$Default.handleHttpResponse(HttpResponseRenderer.java:124)"
