                                    USC Unified CodeCount (UCC)                                    ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                    (c) Copyright 1998 - 2012 University of Southern California                    ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                              SLOC COUNT RESULTS FOR ALL SOURCE FILES                              ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                              Generated by UCC v.2011.10 on 6 27 2016                              ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                    UCC.linux -unified -nocomplex -nodup -i1 slocInclusions.txt                    ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
          RESULTS FOR ALL NON-WEB LANGUAGE FILES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,Blank,Comments,,Compiler,Data,Exec.,Logical,Physical,File,Module,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lines,Lines,Whole,Embedded,Direct.,Decl.,Instr.,SLOC,SLOC,Type,Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,10,2,0,0,14,19,33,47,CODE,./full/path/redacted/someFile.css,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,11,21,0,0,5,19,24,30,CODE,./full/path/redacted/someFile.cs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,6,4,0,0,15,10,25,38,CODE,./full/path/redacted/someFile.cs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,5,17,0,0,3,14,17,25,CODE,./full/path/redacted/someFile.cs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,78,198,0,14,0,197,211,86,CODE,./full/path/redacted/someFile.cs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,17,29,0,0,8,47,55,130,CODE,./full/path/redacted/someFile.cs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,9,28,0,0,5,22,27,34,CODE,./full/path/redacted/someFile.cs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,3,12,0,0,2,11,13,27,CODE,./full/path/redacted/someFile.cs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,4,17,0,0,3,0,3,15,CODE,./full/path/redacted/someFile.cs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,37,109,3,0,1,108,109,62,CODE,./full/path/redacted/someFile.cs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,146,225,0,0,0,227,227,82,CODE,./full/path/redacted/someFile.cs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,19,30,0,0,9,51,60,39,CODE,./full/path/redacted/someFile.cs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,4,15,12,0,0,15,15,26,CODE,./full/path/redacted/someFile.cs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,5,13,0,0,4,18,22,40,CODE,./full/path/redacted/someFile.cs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,4,17,0,0,3,0,3,15,CODE,./full/path/redacted/someFile.cs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,5,39,0,0,5,19,24,49,CODE,./full/path/redacted/someFile.cs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2,12,0,0,0,11,11,10,CODE,./full/path/redacted/someFile.cs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1,3,0,0,1,4,5,11,CODE,./full/path/redacted/someFile.cs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,4,17,0,0,3,0,3,15,CODE,./full/path/redacted/someFile.cs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,21,68,6,0,10,105,115,244,CODE,./full/path/redacted/someFile.cs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,7,42,1,0,3,24,27,44,CODE,./full/path/redacted/someFile.cs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,4,17,0,0,3,0,3,15,CODE,./full/path/redacted/someFile.cs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,35,29,1,0,13,67,80,207,CODE,./full/path/redacted/someFile.cs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,45,103,2,2,25,105,132,180,CODE,./full/path/redacted/someFile.cs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,15,61,0,0,2,43,45,32,CODE,./full/path/redacted/someFile.cs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,13,33,0,0,11,33,44,70,CODE,./full/path/redacted/someFile.cs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,13,24,0,2,10,53,65,61,CODE,./full/path/redacted/someFile.cs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1,6,0,0,5,4,9,12,CODE,./full/path/redacted/someFile.cs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,8,47,0,0,8,7,15,20,CODE,./full/path/redacted/someFile.cs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,9,50,0,0,9,9,18,22,CODE,./full/path/redacted/someFile.cs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,56,106,0,0,11,152,163,232,CODE,./full/path/redacted/someFile.cs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,25,48,0,2,16,49,67,98,CODE,./full/path/redacted/someFile.cs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,21,21,0,2,8,60,70,101,CODE,./full/path/redacted/someFile.cs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
652,85,188,0,12,25,200,237,379,CODE,./full/path/redacted/someFile.cs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,26,54,0,2,11,66,79,137,CODE,./full/path/redacted/someFile.cs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,6,28,0,0,8,17,25,26,CODE,./full/path/redacted/someFile.cs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2,9,0,0,5,2,7,13,CODE,./full/path/redacted/someFile.cs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,7,16,4,0,7,24,31,36,CODE,./full/path/redacted/someFile.cs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,24,43,0,6,13,54,73,124,CODE,./full/path/redacted/someFile.cs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,26,35,0,0,19,84,103,166,CODE,./full/path/redacted/someFile.cs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1,15,0,0,5,2,7,14,CODE,./full/path/redacted/someFile.cs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,16,47,0,0,25,57,82,148,CODE,./full/path/redacted/someFile.cs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1,3,0,0,5,2,7,19,CODE,./full/path/redacted/someFile.cs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,5,16,0,0,16,17,33,37,CODE,./full/path/redacted/someFile.cs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
621,75,166,0,14,37,205,256,380,CODE,./full/path/redacted/someFile.cs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,12,23,0,2,19,26,47,64,CODE,./full/path/redacted/someFile.cs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,3,15,0,0,5,11,16,22,CODE,./full/path/redacted/someFile.cs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0,7,0,0,1,2,3,8,CODE,./full/path/redacted/someFile.cs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,24,63,3,4,23,93,120,177,CODE,./full/path/redacted/someFile.cs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2,3,0,0,10,26,36,24,CODE,./full/path/redacted/someFile.cs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478,67,138,7,2,37,149,188,273,CODE,./full/path/redacted/someFile.cs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1,3,0,0,6,3,9,13,CODE,./full/path/redacted/someFile.cs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2,11,0,0,10,16,26,46,CODE,./full/path/redacted/someFile.cs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,5,14,0,0,17,17,34,45,CODE,./full/path/redacted/someFile.cs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,3,12,0,0,10,16,26,44,CODE,./full/path/redacted/someFile.cs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,12,29,0,0,14,37,51,79,CODE,./full/path/redacted/someFile.cs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,7,22,0,0,3,24,27,53,CODE,./full/path/redacted/someFile.cs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,23,66,1,0,23,72,95,158,CODE,./full/path/redacted/someFile.cs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,9,16,0,0,15,40,55,95,CODE,./full/path/redacted/someFile.cs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,30,66,2,0,20,81,101,128,CODE,./full/path/redacted/someFile.cs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,4,17,0,0,3,0,3,15,CODE,./full/path/redacted/someFile.cs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,11,30,0,0,7,33,40,60,CODE,./full/path/redacted/someFile.cs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,46,95,0,10,17,108,135,246,CODE,./full/path/redacted/someFile.cs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
